openfire耗时	chatserver耗时	chatserver总耗时	客户端io耗时	请求总耗时
78511	75	78586	193	78779
78955	157	79112	21111	100223
78042	71	78113	61	78174
78173	56	78229	62	78291
76918	67	76985	62	77047
78508	80	78588	61	78649
78787	60	78847	62	78909
78195	57	78252	61	78313
76882	88	76970	62	77032
76952	65	77017	62	77079
79503	114	79617	78	79695
151136	90	151226	63	151289
79445	139	79584	75	79659
79216	116	79332	80	79412
78808	56	78864	62	78926
77474	58	77532	61	77593
78303	78	78381	70	78451
80310	56	80366	62	80428
77397	59	77456	61	77517
78224	75	78299	66	78365
79171	67	79238	61	79299
76424	56	76480	63	76543
71337	978	72315	388	72703
71999	91	72090	68	72158
70893	93	70986	69	71055
71060	101	71161	64	71225
72335	112	72447	64	72511
69059	92	69151	68	69219
85255	88	85343	63	85406
70480	91	70571	64	70635
71137	71	71208	168	71376
69983	81	70064	64	70128
70618	100	70718	129	70847
74470	115	74585	2671	77256
73560	74	73634	64	73698
72082	105	72187	63	72250
70981	83	71064	64	71128
73040	145	73185	65	73250
71570	126	71696	63	71759
73029	75	73104	4432	77536
70393	74	70467	152	70619
72055	95	72150	73	72223
80660	131	80791	32085	112876
#################################################
71830	103	71933	243	72176
107210	105	107315	2894	110209
225790	259	226049	42596	268645
76957	109	77066	189474	266540
74678	72	74750	61	74811
70934	69	71003	60	71063
70263	58	70321	62	70383
73117	83	73200	69	73269
72264	66	72330	60	72390
72384	73	72457	61	72518
71522	67	71589	62	71651
70580	67	70647	71	70718
122379	137	122516	74	122590
72028	163	72191	65	72256
71887	82	71969	60	72029
71502	119	71621	60	71681
71819	92	71911	61	71972
69261	88	69349	59	69408
73937	56	73993	61	74054
71265	64	71329	61	71390
69963	65	70028	67	70095
72371	59	72430	62	72492
71774	66	71840	64	71904
70815	66	70881	63	70944
71569	64	71633	62	71695
69763	78	69841	61	69902
70013	85	70098	61	70159
69858	66	69924	62	69986
71032	56	71088	62	71150
71574	55	71629	61	71690
70065	59	70124	62	70186
68880	61	68941	61	69002
72748	69	72817	76	72893
75130	57	75187	61	75248
74743	78	74821	62	74883
72352	70	72422	61	72483
73798	112	73910	61	73971
70947	61	71008	61	71069
71474	55	71529	62	71591
71913	55	71968	61	72029
70109	65	70174	60	70234
73572	73	73645	61	73706
72311	68	72379	62	72441
70977	68	71045	60	71105
70273	68	70341	61	70402
67914	61	67975	61	68036
72470	68	72538	61	72599
72184	72	72256	60	72316
72857	87	72944	60	73004
69827	62	69889	61	69950
71474	67	71541	61	71602
70022	72	70094	61	70155
71461	58	71519	60	71579
69887	56	69943	64	70007
69175	79	69254	66	69320
69084	65	69149	66	69215
69856	75	69931	64	69995
71327	54	71381	65	71446
71628	61	71689	65	71754
71565	59	71624	63	71687
71127	61	71188	64	71252
68813	61	68874	61	68935
72345	69	72414	63	72477
69806	68	69874	65	69939
70450	53	70503	62	70565
69665	67	69732	62	69794
71390	60	71450	63	71513
71688	68	71756	62	71818
68702	74	68776	62	68838
69119	82	69201	62	69263
70957	77	71034	62	71096
69399	68	69467	61	69528
################################################################
####################分开机器#####################################
70463	1045	71508	381	71889
69849	147	69996	155	70151
70079	97	70176	63	70239
70562	96	70658	69	70727
78026	78	78104	175	78279
#####################分开机器end##################################
79149	67	79216	166	79382
79158	73	79231	63	79294
77692	66	77758	67	77825
78281	63	78344	61	78405
85952	98	86050	61	86111
78085	115	78200	48431	126631
78881	79	78960	61	79021
77656	59	77715	93	77808
79881	63	79944	62	80006
79224	94	79318	60	79378
77926	63	77989	60	78049
76953	85	77038	60	77098
79242	59	79301	63	79364
79931	76	80007	57	80064
79168	67	79235	58	79293
77745	60	77805	58	77863
77484	125	77609	59	77668
76782	69	76851	59	76910
80924	55	80979	61	81040
78823	58	78881	62	78943
78664	80	78744	63	78807
77953	52	78005	60	78065
77353	71	77424	61	77485
82218	87	82305	61	82366
78516	64	78580	62	78642
80693	95	80788	81	80869
221806	137	221943	51542	273485
79287	56	79343	66	79409
80502	56	80558	63	80621
#########################单个###############################
903	72	975	20	995
##########################单个end############################
80068	96	80164	945	81109
###########三个###############
7677	1079	8756	579	9335
7697	77	7774	73	7847
7732	78	7810	147	7957
############八个##############
68021	80	68101	914	69015
69275	83	69358	52142	121500
847	67	914	135	1049
847	71	918	15	933
860	72	932	14	946
3459	69	3528	129	3657
876	75	951	160	1111
